"","value","participant","prodIDs"
"1",0.859564446783685,1002,1
"2",1,1002,2
"3",0.874157397778003,1002,3
"4",0.855842887581169,1002,4
"5",0.146531142197646,1002,5
"6",1,1002,6
"7",0.839240532416802,1002,7
"8",0.997000558035714,1002,8
"9",0.997234394023945,1002,9
"10",1,1002,10
"11",0.504494406960227,1002,11
"12",0.522392768364448,1002,12
"13",0.740502295556007,1002,13
"14",0.123535948914367,1002,14
"15",0.921721223112825,1002,15
"16",0.939900980367289,1002,16
"17",0.106347022118506,1002,17
"18",1,1002,18
"19",0.125731629210633,1002,19
"20",0.89364108791599,1002,20
"21",0.803376433137175,1002,21
"22",0.179101721032873,1002,22
"23",0.945029518821023,1002,23
"24",1,1002,24
"25",0.633619432325487,1002,25
"26",0.94898491401177,1002,26
"27",0.563179313362419,1002,27
"28",1,1002,28
"29",0.873963195008117,1002,29
"30",0.970977386870942,1002,30
"31",0.617845411424513,1002,31
"32",0.909791624391234,1002,32
"33",0.391301935369318,1002,33
"34",0.955021053165584,1002,34
"35",0.365948565594562,1002,35
"36",0.734271953632305,1002,36
"37",0.888437246347403,1002,37
"38",0.808223575740666,1002,38
"39",0.207483068689123,1002,39
"40",0.863694228135146,1002,40
"41",0.85030612697849,1002,41
"42",0.956071333451705,1002,42
"43",0.996168260450487,1002,43
"44",0.880998091264205,1002,44
"45",1,1002,45
"46",0.912855272169237,1002,46
"47",0.32340230570211,1002,47
"48",0.594731318486201,1002,48
"49",0.462003633573458,1002,49
"50",0.321666370738636,1002,50
"51",0.333100554230925,1002,51
"52",0.775006975446429,1002,52
"53",0.689969942167208,1002,53
"54",0.273753773082386,1002,54
"55",0.666273240919237,1002,55
"56",0.857471812855114,1002,56
"57",0.90015678901177,1002,57
"58",0.87000779981737,1002,58
"59",0.630864923650568,1002,59
"60",0.908582811231737,1002,60
"61",0.952433004007711,1002,61
"62",0.549129337459416,1002,62
"63",0.488042658025568,1002,63
"64",0.989612926136364,1002,64
"65",1,1002,65
"66",0.32679490919237,1002,66
"67",1,1002,67
"68",0.731747317623783,1002,68
"69",0.88672905463677,1002,69
"70",0.815563647778003,1002,70
"71",0.991765009892451,1002,71
"72",0.752420004312094,1002,72
"73",1,1002,73
"74",0.757136357295049,1002,74
"75",0.292908507508117,1002,75
"76",0.820636699726055,1002,76
"77",0.627274154068588,1002,77
"78",1,1002,78
"79",0.942742682122565,1002,79
"80",1,1002,80
"81",0.511319247159091,1002,81
"82",1,1002,82
"83",0.897148627739448,1002,83
"84",0.750660289417614,1002,84
